"","Experiment","Cup","DPI","presence","temp","DTR","gametocytemia"
"385",1,7,15.5,0,23,0,0.000241379310344828
"386",1,7,15.5,0,23,0,0.000241379310344828
"387",1,7,15.5,0,23,0,0.000241379310344828
"388",1,7,15.5,0,23,0,0.000241379310344828
"389",1,7,15.5,0,23,0,0.000241379310344828
"390",1,7,15.5,0,23,0,0.000241379310344828
"391",1,8,15.5,1,23,0,0.000241379310344828
"392",1,8,15.5,0,23,0,0.000241379310344828
"393",1,8,15.5,0,23,0,0.000241379310344828
"394",1,8,15.5,0,23,0,0.000241379310344828
"395",1,8,15.5,0,23,0,0.000241379310344828
"396",1,8,15.5,0,23,0,0.000241379310344828
"397",1,8,15.5,0,23,0,0.000241379310344828
"398",1,8,15.5,0,23,0,0.000241379310344828
"399",1,8,15.5,0,23,0,0.000241379310344828
"400",1,8,15.5,0,23,0,0.000241379310344828
"401",1,7,16.5,1,23,0,0.000241379310344828
"402",1,7,16.5,1,23,0,0.000241379310344828
"403",1,7,16.5,0,23,0,0.000241379310344828
"404",1,7,16.5,0,23,0,0.000241379310344828
"405",1,7,16.5,0,23,0,0.000241379310344828
"406",1,7,16.5,0,23,0,0.000241379310344828
"407",1,7,16.5,0,23,0,0.000241379310344828
"408",1,7,16.5,0,23,0,0.000241379310344828
"409",1,7,16.5,0,23,0,0.000241379310344828
"410",1,7,16.5,0,23,0,0.000241379310344828
"411",1,8,16.5,1,23,0,0.000241379310344828
"412",1,8,16.5,1,23,0,0.000241379310344828
"413",1,8,16.5,1,23,0,0.000241379310344828
"414",1,8,16.5,0,23,0,0.000241379310344828
"415",1,8,16.5,0,23,0,0.000241379310344828
"416",1,8,16.5,0,23,0,0.000241379310344828
"417",1,8,16.5,0,23,0,0.000241379310344828
"418",1,8,16.5,0,23,0,0.000241379310344828
"419",1,8,16.5,0,23,0,0.000241379310344828
"420",1,8,16.5,0,23,0,0.000241379310344828
"421",1,7,17.5,1,23,0,0.000241379310344828
"422",1,7,17.5,1,23,0,0.000241379310344828
"423",1,7,17.5,1,23,0,0.000241379310344828
"424",1,7,17.5,0,23,0,0.000241379310344828
"425",1,7,17.5,0,23,0,0.000241379310344828
"426",1,7,17.5,0,23,0,0.000241379310344828
"427",1,7,17.5,0,23,0,0.000241379310344828
"428",1,7,17.5,0,23,0,0.000241379310344828
"429",1,7,17.5,0,23,0,0.000241379310344828
"430",1,7,17.5,0,23,0,0.000241379310344828
"431",1,8,17.5,1,23,0,0.000241379310344828
"432",1,8,17.5,0,23,0,0.000241379310344828
"433",1,8,17.5,0,23,0,0.000241379310344828
"434",1,8,17.5,0,23,0,0.000241379310344828
"435",1,8,17.5,0,23,0,0.000241379310344828
"436",1,8,17.5,0,23,0,0.000241379310344828
"437",1,8,17.5,0,23,0,0.000241379310344828
"438",1,8,17.5,0,23,0,0.000241379310344828
"439",1,8,17.5,0,23,0,0.000241379310344828
"440",1,8,17.5,0,23,0,0.000241379310344828
"441",1,7,19.5,1,23,0,0.000241379310344828
"442",1,7,19.5,1,23,0,0.000241379310344828
"443",1,7,19.5,0,23,0,0.000241379310344828
"444",1,7,19.5,0,23,0,0.000241379310344828
"445",1,7,19.5,0,23,0,0.000241379310344828
"446",1,7,19.5,0,23,0,0.000241379310344828
"447",1,7,19.5,0,23,0,0.000241379310344828
